date,EUA_return,GAS_return,OIL_return,COAL_return,ELEC_return,IP_return,CPI_return,POLICY_dummy,PHASE_dummy
2023-01-20,0.00899920946267585,0.07924937165414048,0.01691729835857103,0.029234746035473158,0.08510627851256825,0.013667639,0.087,0,1
2023-01-23,-0.009732436918231002,0.08515780834030684,0.006370231881812849,0.029234746035473158,0.08510627851256825,0.013667639,0.087,0,1
2023-01-24,-0.02701192603653002,-0.023599915340873467,-0.023635854695023717,0.029234746035473158,0.08510627851256825,0.013667639,0.087,0,1
2023-01-25,0.032862747212584864,-0.08078925492732103,-0.00011604644425222688,0.029234746035473158,0.08510627851256825,0.013667639,0.087,0,1
2023-01-26,0.05359375761895979,-0.1275392106017481,0.015554186951053595,0.029234746035473158,0.08510627851256825,0.013667639,0.087,0,1
2023-01-27,0.00149640315692956,0.039644831347240395,-0.009303432833622338,0.029234746035473158,0.08510627851256825,0.013667639,0.087,0,1
2023-01-30,0.0031007776782479013,-0.003539826705124094,-0.020518347207277188,0.029234746035473158,0.08510627851256825,0.013667639,0.087,0,1
2023-01-31,0.032934069329424887,-0.062177244951891475,-0.00484095250219152,0.029234746035473158,0.08510627851256825,0.013667639,0.087,0,1
2023-02-01,0.02757588016305057,-0.062177244951891475,-0.00484095250219152,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-02,-0.021823015530508805,0.007518832414027399,-0.027842909164117025,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-03,0.0027540639825724966,0.0,0.030915496588365343,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-06,-0.03287783549687262,-0.19753097545748355,0.010696669522519464,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-07,-0.0006823609954285104,-0.19753097545748355,0.010696669522519464,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-08,-0.0035329685161338276,0.3340061441260195,0.08880494197280964,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-09,0.010222715104260871,0.3340061441260195,0.08880494197280964,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-10,0.021797096130510063,0.10536051565782634,0.0864202833161336,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-13,-0.012125405804331635,-0.2540654616527961,-0.0027671856845135068,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-14,-0.008203675834093538,0.0,-0.011963657013848383,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-15,0.032090690155943236,0.012320484388040676,-0.0023397832513039063,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-16,0.03879612129107901,0.012170535620255052,-0.002814895885530966,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-17,-0.019102777640710222,-0.0840831172105414,-0.025456345438738204,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-20,0.018892516916638513,-0.0840831172105414,-0.025456345438738204,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-21,0.0209132108168939,-0.07275935428242819,0.0006022649875694341,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-22,-0.03852079340961634,-0.02386748140664352,-0.029944242254215325,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-23,0.004164670443648433,0.047178560275090486,0.01977830744323672,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-24,0.010072714119729653,0.08393445148515055,0.011489569028166002,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-27,0.022015600431770643,0.07743174013281606,-0.008574494987864334,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-02-28,-0.010582109330536937,-0.019802627296179653,0.017314397573285234,0.006826540921991864,-0.029772352362416044,0.015267472,0.085,0,1
2023-03-01,-0.02193255355400492,0.3756929497744943,-0.021568411764203432,-0.038609646042219836,-0.018312384666357318,-0.039078121,0.069,0,1
2023-03-02,-0.04024469139788689,-0.41651494429474956,-0.026661614016503243,-0.038609646042219836,-0.018312384666357318,-0.039078121,0.069,0,1
2023-03-03,-0.009254679423021273,0.1028573854397079,0.0710922332452757,-0.038609646042219836,-0.018312384666357318,-0.039078121,0.069,0,1
2023-03-06,0.0076996418998440674,0.1028573854397079,0.0710922332452757,-0.038609646042219836,-0.018312384666357318,-0.039078121,0.069,0,1
2023-03-07,0.03183553869680278,0.2101238381059065,0.031571538318950765,-0.038609646042219836,-0.018312384666357318,-0.039078121,0.069,0,1
2023-03-08,0.02014671350266717,-0.016260520871780315,0.13148640875449136,-0.038609646042219836,-0.018312384666357318,-0.039078121,0.069,0,1
2023-03-09,0.006731199163656498,-0.016260520871780315,0.13148640875449136,-0.038609646042219836,-0.018312384666357318,-0.039078121,0.069,0,1
2023-03-10,0.014878285169198868,0.1049505955864991,0.06568302562142136,-0.038609646042219836,-0.018312384666357318,-0.039078121,0.069,0,1
2023-03-13,-0.040464903133334396,-0.22314355131420993,-0.04975072570950623,-0.038609646042219836,-0.018312384666357318,-0.039078121,0.069,0,1
2023-03-14,-0.03568679918013906,0.09909090264423093,-0.04197304037196847,-0.038609646042219836,-0.018312384666357318,-0.039078121,0.069,0,1
2023-03-15,-0.034928145148350964,-0.07847161544149506,-0.04976538959204024,-0.038609646042219836,-0.018312384666357318,-0.039078121,0.069,0,1
2023-03-16,-0.016054323407657556,0.0,0.013612913418192818,-0.038609646042219836,-0.018312384666357318,-0.039078121,0.069,0,1
2023-03-17,0.0035120616760053736,-0.012320484388040676,-0.023431636812055956,-0.038609646042219836,-0.018312384666357318,-0.039078121,0.069,0,1
