model,horizon,regime,rmse_mean,rmse_std,mae_mean,mae_std,da_mean,da_std
qk_svr,1,crisis_onset,0.038809281806715994,0.025893064083757186,0.038809281806715994,0.025893064083757186,33.333333333333336,51.63977794943222
qk_svr,1,peak_crisis,0.028680953407480773,0.01672917518462074,0.028680953407480773,0.01672917518462074,46.15384615384615,51.887452166277086
qk_svr,1,post_crisis,0.014577845921040639,0.009183297946392825,0.014577845921040639,0.009183297946392825,60.0,54.772255750516614
qk_svr,1,pre_crisis,0.024968351612625776,0.01894198775001096,0.024968351612625776,0.01894198775001096,53.84615384615385,51.887452166277086
qk_svr,5,crisis_onset,0.020281044911562893,0.017870521456763697,0.020281044911562893,0.017870521456763697,66.66666666666667,51.63977794943222
qk_svr,5,peak_crisis,0.02488198668979333,0.018638801522194787,0.02488198668979333,0.018638801522194787,50.0,52.223296786709355
qk_svr,5,post_crisis,0.022208885909680787,0.008096585557150439,0.022208885909680787,0.008096585557150439,66.66666666666667,51.63977794943222
qk_svr,5,pre_crisis,0.02983249873467109,0.017496545394092823,0.02983249873467109,0.017496545394092823,46.15384615384615,51.887452166277086
qk_svr,22,crisis_onset,0.0411416091483939,0.020172252763391067,0.0411416091483939,0.020172252763391067,50.0,54.772255750516614
qk_svr,22,peak_crisis,0.02869963005616358,0.01684129471324946,0.02869963005616358,0.01684129471324946,46.15384615384615,51.887452166277086
qk_svr,22,post_crisis,0.019195342126693427,0.013658149141612754,0.019195342126693427,0.013658149141612754,50.0,54.772255750516614
qk_svr,22,pre_crisis,0.027568024494101926,0.0180177256749315,0.027568024494101926,0.0180177256749315,50.0,52.223296786709355
rbf_svm,1,crisis_onset,0.031216499056273748,0.029607419950251082,0.031216499056273748,0.029607419950251082,66.66666666666667,51.63977794943222
rbf_svm,1,peak_crisis,0.0198604972199018,0.017731084369187345,0.0198604972199018,0.017731084369187345,30.76923076923077,48.03844614152614
rbf_svm,1,post_crisis,0.018129628315417277,0.009894351605722957,0.018129628315417277,0.009894351605722957,40.0,54.772255750516614
rbf_svm,1,pre_crisis,0.017521453311612808,0.021319005494418078,0.017521453311612808,0.021319005494418078,61.53846153846154,50.63696835418333
rbf_svm,5,crisis_onset,0.016668665327839643,0.011396815142056248,0.016668665327839643,0.011396815142056248,33.333333333333336,51.63977794943223
rbf_svm,5,peak_crisis,0.020424381397954623,0.012376833474969495,0.020424381397954623,0.012376833474969495,41.666666666666664,51.49286505444372
rbf_svm,5,post_crisis,0.012860063884638085,0.010197622915339743,0.012860063884638085,0.010197622915339743,66.66666666666667,51.63977794943222
rbf_svm,5,pre_crisis,0.020523670000252996,0.020575134626931446,0.020523670000252996,0.020575134626931446,53.84615384615385,51.887452166277086
rbf_svm,22,crisis_onset,0.0313095399443781,0.028947535349324854,0.0313095399443781,0.028947535349324854,66.66666666666667,51.63977794943222
rbf_svm,22,peak_crisis,0.019134567374113714,0.018321913715005283,0.019134567374113714,0.018321913715005283,46.15384615384615,51.887452166277086
rbf_svm,22,post_crisis,0.017724795989371853,0.009375963729028883,0.017724795989371853,0.009375963729028883,50.0,54.772255750516614
rbf_svm,22,pre_crisis,0.019545729923328117,0.020495563561536142,0.019545729923328117,0.020495563561536142,41.666666666666664,51.49286505444372
transformer,1,crisis_onset,0.030734285237401324,0.030158084595664308,0.030734285237401324,0.030158084595664308,83.33333333333333,40.8248290463863
transformer,1,peak_crisis,0.01803892709781801,0.01796425200753837,0.01803892709781801,0.01796425200753837,61.53846153846154,50.63696835418333
transformer,1,post_crisis,0.017277094906773233,0.011321720965623987,0.017277094906773233,0.011321720965623987,60.0,54.77225575051661
transformer,1,pre_crisis,0.01934789896380856,0.020797130394215484,0.01934789896380856,0.020797130394215484,46.15384615384615,51.887452166277086
