total_return_pct,ann_return_pct,sharpe_ratio,max_drawdown_pct,calmar_ratio,hit_rate_pct,win_loss_ratio,n_trades,n_obs,model,horizon,regime
-3.7073,-155.707,-6.9495,-412.4991,-0.3775,33.33,0.7534,6,6,bilstm,5,post_crisis
18.7125,127.4476,3.4461,-590.5144,0.2158,56.76,1.3018,37,37,gru,5,overall
16.2648,315.2872,7.5447,-590.5144,0.5339,61.54,2.2851,13,13,gru,5,pre_crisis
-4.3696,-183.5226,-6.6058,-333.766,-0.5499,33.33,0.8273,6,6,gru,5,crisis_onset
10.5246,221.017,6.5145,-24.3754,9.0672,75.0,0.8428,12,12,gru,5,peak_crisis
-3.7073,-155.707,-6.9495,-412.4991,-0.3775,33.33,0.7534,6,6,gru,5,post_crisis
-15.1103,-102.9132,-2.7602,-456.0025,-0.2257,43.24,0.8547,37,37,transformer,5,overall
2.0701,40.1275,0.8686,-178.8722,0.2243,69.23,0.514,13,13,transformer,5,pre_crisis
-4.3696,-183.5226,-6.6058,-333.766,-0.5499,33.33,0.8273,6,6,transformer,5,crisis_onset
-6.2157,-130.5304,-3.6523,-3893.0122,-0.0335,33.33,1.1851,12,12,transformer,5,peak_crisis
-6.595,-276.9907,-16.1613,-204.306,-1.3558,16.67,0.5388,6,6,transformer,5,post_crisis
25.2321,171.8512,4.739,-3394.026,0.0506,62.16,1.2722,37,37,emd_lstm,5,overall
15.4707,299.8933,7.1003,-3394.026,0.0884,61.54,2.1079,13,13,emd_lstm,5,pre_crisis
-0.5983,-25.1274,-0.8362,-115.8875,-0.2168,50.0,0.8925,6,6,emd_lstm,5,crisis_onset
9.7326,204.3836,5.952,-88.982,2.2969,75.0,0.7788,12,12,emd_lstm,5,peak_crisis
0.6272,26.3405,1.0794,-82.6325,0.3188,50.0,1.1659,6,6,emd_lstm,5,post_crisis
8.8661,60.3852,1.6037,-155.6971,0.3878,51.35,1.2154,37,37,rw,5,overall
3.4053,66.0096,1.4324,-119.7524,0.5512,46.15,1.4831,13,13,rw,5,pre_crisis
-6.5203,-273.8512,-11.1072,-248.8241,-1.1006,16.67,1.1769,6,6,rw,5,crisis_onset
4.7018,98.7372,2.732,-77.8384,1.2685,58.33,1.0571,12,12,rw,5,peak_crisis
7.2793,305.7316,20.2792,-12.5824,24.2984,83.33,3.4042,6,6,rw,5,post_crisis
-8.1688,-55.6362,-1.4765,-312.4035,-0.1781,48.65,0.8392,37,37,hm,5,overall
2.0701,40.1275,0.8686,-178.8722,0.2243,69.23,0.514,13,13,hm,5,pre_crisis
1.9319,81.1381,2.7362,-230.1129,0.3526,50.0,1.4491,6,6,hm,5,crisis_onset
-8.4634,-177.7321,-5.0894,-5493.8675,-0.0324,33.33,0.9666,12,12,hm,5,peak_crisis
-3.7073,-155.707,-6.9495,-412.4991,-0.3775,33.33,0.7534,6,6,hm,5,post_crisis
-8.1688,-55.6362,-1.4765,-312.4035,-0.1781,48.65,0.8392,37,37,buy_hold,5,overall
2.0701,40.1275,0.8686,-178.8722,0.2243,69.23,0.514,13,13,buy_hold,5,pre_crisis
1.9319,81.1381,2.7362,-230.1129,0.3526,50.0,1.4491,6,6,buy_hold,5,crisis_onset
-8.4634,-177.7321,-5.0894,-5493.8675,-0.0324,33.33,0.9666,12,12,buy_hold,5,peak_crisis
-3.7073,-155.707,-6.9495,-412.4991,-0.3775,33.33,0.7534,6,6,buy_hold,5,post_crisis
5.3795,36.6389,0.97,-391.3456,0.0936,43.24,1.526,37,37,random,5,overall
-6.5973,-127.8853,-2.8068,-391.3456,-0.3268,38.46,0.9987,13,13,random,5,pre_crisis
-0.2188,-9.1905,-0.3055,-122.7363,-0.0749,33.33,1.9186,6,6,random,5,crisis_onset
-0.2732,-5.7362,-0.1564,-103.0158,-0.0557,50.0,0.9778,12,12,random,5,peak_crisis
0.8843,37.1396,1.5255,-78.3361,0.4741,50.0,1.2421,6,6,random,5,post_crisis
15.1631,103.2732,2.3219,-205.3546,0.5029,48.65,1.5802,37,37,qk_svr,22,overall
1.389,29.168,0.6621,-205.3546,0.142,50.0,1.1287,12,12,qk_svr,22,pre_crisis
4.9223,206.7372,3.2396,-10.7096,19.3038,50.0,1.6984,6,6,qk_svr,22,crisis_onset
6.3625,123.3345,3.1495,-81.0571,1.5216,46.15,1.998,13,13,qk_svr,22,peak_crisis
2.4894,104.5537,3.6219,-57.1914,1.8281,50.0,1.6664,6,6,qk_svr,22,post_crisis
-13.5555,-92.3241,-2.0713,-29931.3011,-0.0031,48.65,0.7366,37,37,rbf_svm,22,overall
-8.9266,-187.4591,-4.4128,-29931.3011,-0.0063,41.67,0.6165,12,12,rbf_svm,22,pre_crisis
2.4075,101.1159,1.56,-43.6117,2.3185,66.67,0.6449,6,6,rbf_svm,22,crisis_onset
-7.4599,-144.6065,-3.7202,-510.3569,-0.2833,46.15,0.6172,13,13,rbf_svm,22,peak_crisis
0.4234,17.7843,0.6011,-116.3514,0.1529,50.0,1.0888,6,6,rbf_svm,22,post_crisis
5.5005,37.4626,0.8346,-29931.3011,0.0013,51.35,1.0948,37,37,laplacian_svm,22,overall
0.8075,16.9573,0.3847,-29931.3011,0.0006,50.0,1.0729,12,12,laplacian_svm,22,pre_crisis
2.4075,101.1159,1.56,-43.6117,2.3185,66.67,0.6449,6,6,laplacian_svm,22,crisis_onset
2.9644,57.4641,1.4453,-167.4847,0.3431,46.15,1.4921,13,13,laplacian_svm,22,peak_crisis
-0.679,-28.5168,-0.9649,-364.4336,-0.0782,50.0,0.8724,6,6,laplacian_svm,22,post_crisis
11.4426,77.9332,1.7442,-512.6124,0.152,56.76,1.0313,37,37,xgboost,22,overall
3.3635,70.6336,1.6102,-512.6124,0.1378,50.0,1.343,12,12,xgboost,22,pre_crisis
2.4075,101.1159,1.56,-43.6117,2.3185,66.67,0.6449,6,6,xgboost,22,crisis_onset
8.1609,158.1962,4.092,-60.3742,2.6203,61.54,1.2602,13,13,xgboost,22,peak_crisis
-2.4894,-104.5537,-3.6219,-181.9737,-0.5746,50.0,0.6001,6,6,xgboost,22,post_crisis
5.1419,35.0203,0.78,-205.3546,0.1705,54.05,0.9731,37,37,lightgbm,22,overall
4.7918,100.6284,2.3062,-205.3546,0.49,66.67,0.7635,12,12,lightgbm,22,pre_crisis
1.6734,70.2831,1.0816,-57.1194,1.2305,50.0,1.193,6,6,lightgbm,22,crisis_onset
1.166,22.6025,0.5665,-211.7326,0.1068,46.15,1.2847,13,13,lightgbm,22,peak_crisis
-2.4894,-104.5537,-3.6219,-181.9737,-0.5746,50.0,0.6001,6,6,lightgbm,22,post_crisis
-2.8714,-19.5565,-0.4352,-2358.2538,-0.0083,48.65,0.9789,37,37,bilstm,22,overall
-0.2833,-5.9489,-0.1349,-1452.7093,-0.0041,41.67,1.3659,12,12,bilstm,22,pre_crisis
5.6564,237.57,3.7479,-3.6872,64.4302,66.67,0.9234,6,6,bilstm,22,crisis_onset
-5.7552,-111.5616,-2.8387,-667.5993,-0.1671,46.15,0.7187,13,13,bilstm,22,peak_crisis
-2.4894,-104.5537,-3.6219,-181.9737,-0.5746,50.0,0.6001,6,6,bilstm,22,post_crisis
-30.1147,-205.1055,-4.7639,-1599.8203,-0.1282,43.24,0.5688,37,37,gru,22,overall
-8.6051,-180.7081,-4.2423,-675.4174,-0.2676,41.67,0.637,12,12,gru,22,pre_crisis
2.4075,101.1159,1.56,-43.6117,2.3185,66.67,0.6449,6,6,gru,22,crisis_onset
